code,code,decimal_point,name,pre_close,sec,sse,volunit
000001,000001,2,上证指数,2686.5783691406,index_cn,sh,100
000002,000002,2,Ａ股指数,2813.4226074219,index_cn,sh,100
000003,000003,2,Ｂ股指数,282.646697998,index_cn,sh,100
000004,000004,2,工业指数,2176.173828125,index_cn,sh,100
000005,000005,2,商业指数,2341.7651367188,index_cn,sh,100
000006,000006,2,地产指数,5754.7973632812,index_cn,sh,100
000007,000007,2,公用指数,4642.4638671875,index_cn,sh,100
000008,000008,2,综合指数,2511.6193847656,index_cn,sh,100
000009,000009,2,上证380,4279.5068359375,index_cn,sh,100
000010,000010,2,上证180,7206.4072265625,index_cn,sh,100
000011,000011,2,基金指数,5677.5415039062,index_cn,sh,100
000012,000012,2,国债指数,166.5803985596,index_cn,sh,100
000013,000013,2,企债指数,221.5388031006,index_cn,sh,100
000015,000015,2,红利指数,2549.1181640625,index_cn,sh,100
000016,000016,2,上证50,2415.3115234375,index_cn,sh,100
000017,000017,2,新综指,2268.0251464844,index_cn,sh,100
000018,000018,2,180金融,4576.6279296875,index_cn,sh,100
000019,000019,2,治理指数,919.9302978516,index_cn,sh,100
000020,000020,2,中型综指,916.7077026367,index_cn,sh,100
000021,000021,2,180治理,860.0471191406,index_cn,sh,100
000022,000022,2,沪公司债,188.666595459,index_cn,sh,100
000025,000025,2,180基建,1662.2274169922,index_cn,sh,100
000026,000026,2,180资源,2299.3317871094,index_cn,sh,100
000027,000027,2,180运输,929.9990234375,index_cn,sh,100
000028,000028,2,180成长,2866.5717773438,index_cn,sh,100
000029,000029,2,180价值,3659.2238769531,index_cn,sh,100
000030,000030,2,180R成长,1756.5487060547,index_cn,sh,100
000031,000031,2,180R价值,2636.9729003906,index_cn,sh,100
000032,000032,2,上证能源,1453.0599365234,index_cn,sh,100
000033,000033,2,上证材料,1814.9265136719,index_cn,sh,100
000034,000034,2,上证工业,1842.9923095703,index_cn,sh,100
000035,000035,2,上证可选,2223.6301269531,index_cn,sh,100
000036,000036,2,上证消费,7570.9067382812,index_cn,sh,100
000037,000037,2,上证医药,6140.5317382812,index_cn,sh,100
000038,000038,2,上证金融,4529.4399414062,index_cn,sh,100
